id,idcc,label
9a97c1f8-b833-40f5-8236-2bdb90d30884,1543,"Convention collective nationale de la boyauderie (annexée à la convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes 1586)"
cca6a216-534f-448a-b70a-50787e9f919e,1555,"Convention collective nationale de la fabrication et du commerce des produits à usage pharmaceutique, parapharmaceutique et vétérinaire"
f0a62867-3bfa-435f-96fb-81f9c59153a2,1557,"Convention collective nationale du commerce des articles de sports et d'équipements de loisirs (fusion entre la 1557 et la 1618)"
36b86804-c0ce-410c-9611-f793641e44cb,1558,"Convention collective nationale relative aux conditions de travail du personnel des industries céramiques de France"
5e360365-a62d-40d0-99cf-213ce32f6225,1560,"Convention collective départementale des industries métallurgiques, électriques et connexes des Alpes-Maritimes"
b881a161-4be8-46bd-9583-d001118650e4,1561,"Convention collective nationale de la cordonnerie multiservice (annexée à la convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir 2528)"
7a2e8155-1979-4abc-b868-2b2e8eb0ebec,1564,"Convention collective départementale des industries de la métallurgie de Saône-et-Loire"
f4a44f82-fdd1-41bc-b779-fae7b50ec98c,1565,"Convention collective départementale des services de soins infirmiers à domicile pour personnes âgées de la Guadeloupe"
c93492df-11f8-42c6-9b4c-84f3a6d51b2b,1572,"Convention collective départementale de la métallurgie de la Charente"
59bb32ea-d7b1-4675-9fe8-25ca1de957e6,1576,"Convention collective départementale de travail des industries métallurgiques, mécaniques, électriques, électroniques, connexes et similaires du département du Cher"
22a338fd-6cc7-4986-9796-486b98f7659f,1577,"Convention collective régionale des industries métallurgiques, électroniques et connexes de l'Hérault, de l'Aude et des Pyrénées-Orientales"
67b3194d-e80c-4701-8501-2966934c8da5,1578,"Convention collective départementale de la métallurgie de la Loire et de l'arrondissement d'Yssingeaux"
483a39bf-7518-45c4-a5c4-ed83a363c08a,1580,"Convention collective nationale de l'industrie de la chaussure et des articles chaussants"
9b6cc0b7-aa4a-43e5-843e-e55e41c4b893,1586,"Convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes"
cc23e9d1-2b85-447d-88aa-b2d49c5486f9,1588,"Convention collective nationale du personnel des sociétés coopératives d'HLM (annexée à la convention collective nationale du personnel des Offices Publics de l'Habitat 3220)"
a8f73da8-43c9-4d10-ac50-a2ee11a28df0,1589,"Convention collective nationale des mareyeurs-expéditeurs"
e1a80fa7-99dc-41da-bedc-f360b23a3029,1592,"Convention collective locale de la métallurgie du Valenciennois et du Cambrésis"
84ac09e9-1552-4b15-aab7-177a377cc405,1596,"Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment visées par le décret du 1er mars 1962 -c'est-à-dire occupant jusqu'à 10 salariés-"
62835498-e17c-4d03-ab4d-e2845cd5d199,1597,"Convention collective nationale concernant les ouvriers employés par les entreprises du bâtiment non visées par le décret 1er mars 1962 -c'est-à-dire occupant plus de 10 salariés-"
d700935f-f8d4-4e8f-8dd3-f5ab881006e8,1604,"Convention collective locale des industries métallurgiques des arrondissements de Rouen et de Dieppe"
bb7a2206-558a-4861-9894-90ca900f88fe,1605,"Convention collective nationale des entreprises de désinfection, désinsectisation, dératisation"
4cb2da55-4574-4aee-958c-1983c7940001,1606,"Convention collective nationale du bricolage"
